"Gemeente"	"Jaar"	"Banen totaal"	"Vestigingen totaal"
"Uitgeest"	"2017"	"3690"	"900"
"Uithoorn"	"2017"	"13360"	"2480"
"Urk"	"2017"	"9750"	"1620"
"Utrecht"	"2017"	"248540"	"37100"
"Utrechtse Heuvelrug"	"2017"	"22330"	"5600"
"Vaals"	"2017"	"2450"	"770"
"Valkenburg aan de Geul"	"2017"	"6210"	"1680"
"Valkenswaard"	"2017"	"12950"	"2900"
"Veendam"	"2017"	"11890"	"1810"
"Veenendaal"	"2017"	"29050"	"5100"
"Veere"	"2017"	"8860"	"2720"
"Veldhoven"	"2017"	"31170"	"3610"
"Velsen"	"2017"	"33800"	"4440"
"Venlo"	"2017"	"58780"	"8120"
"Venray"	"2017"	"25980"	"3680"
"Vianen"	"2017"	"11620"	"1790"
"Vlaardingen"	"2017"	"21730"	"4110"
"Vlagtwedde"	"2017"	"6200"	"1290"
"Vlieland"	"2017"	"730"	"180"
"Vlissingen"	"2017"	"18680"	"3120"
"Voerendaal"	"2017"	"2660"	"1090"
"Voorschoten"	"2017"	"6120"	"1850"
"Voorst"	"2017"	"13610"	"2200"
"Vught"	"2017"	"12490"	"2200"
"Waalre"	"2017"	"4630"	"1600"
"Waalwijk"	"2017"	"28100"	"4450"
"Waddinxveen"	"2017"	"13120"	"2060"
"Wageningen"	"2017"	"19720"	"2780"
"Wassenaar"	"2017"	"10010"	"2290"
"Waterland"	"2017"	"4510"	"1720"
"Weert"	"2017"	"23890"	"4320"
"Weesp"	"2017"	"8410"	"1730"
"Werkendam"	"2017"	"9420"	"2340"
"West Maas en Waal"	"2017"	"6450"	"1980"
"Westerveld"	"2017"	"9310"	"2040"
"Westervoort"	"2017"	"2930"	"1010"
"Westland"	"2017"	"61690"	"10700"
"Weststellingwerf"	"2017"	"8980"	"2640"
"Westvoorne"	"2017"	"4230"	"1170"
"Wierden"	"2017"	"8120"	"2120"
"Wijchen"	"2017"	"16610"	"3370"
"Wijdemeren"	"2017"	"7920"	"2470"
"Wijk bij Duurstede"	"2017"	"6800"	"2250"
"Winsum"	"2017"	"3690"	"1060"
"Winterswijk"	"2017"	"13520"	"2450"
"Woensdrecht"	"2017"	"9330"	"1620"
"Woerden"	"2017"	"27180"	"5020"
"Wormerland"	"2017"	"4800"	"1310"
"Woudenberg"	"2017"	"5070"	"1130"
"Woudrichem"	"2017"	"5340"	"1320"
"Zaanstad"	"2017"	"63800"	"15040"
"Zaltbommel"	"2017"	"13770"	"2770"
"Zandvoort"	"2017"	"5340"	"1510"
"Zederik"	"2017"	"5810"	"1330"
"Zeewolde"	"2017"	"11330"	"2520"
"Zeist"	"2017"	"35360"	"6310"
"Zevenaar"	"2017"	"13570"	"2520"
"Zoetermeer"	"2017"	"53450"	"8880"
"Zoeterwoude"	"2017"	"7270"	"780"
"Zuidhorn"	"2017"	"5650"	"1510"
"Zuidplas"	"2017"	"16460"	"3530"
"Zundert"	"2017"	"8060"	"1960"
"Zutphen"	"2017"	"21340"	"4070"
"Zwartewaterland"	"2017"	"11510"	"1910"
"Zwijndrecht"	"2017"	"21300"	"2960"
"Zwolle"	"2017"	"97980"	"11300"


Het aantal banen heeft betrekking op het totaal 
aantal fulltimers, parttimers en uitzendkrachten.

Publicatie van deze LISA-cijfers is toegestaan mits deze voorzien zijn
van een duidelijke bronvermelding (Bron: 'LISA', inclusief het jaar
waarop de gegevens betrekking hebben).
Deze bron dient per tabel en/of grafiek te worden vermeld.
